Date,Month,Day,HijriMonth,HijriDay,Fajr,FajrIqama,Sunrise,Dhuhr,DhuhrIqama,Asr,AsrIqama,Maghrib,MaghribIqama,Isha,IshaIqama
2022-06-20,6,20,Dhul-Qada,21,4:04,5:00,5:55,1:38,1:50,5:37,6:00,9:15,9:20,10:31,10:45
2022-06-21,6,21,Dhul-Qada,22,4:04,5:00,5:55,1:39,1:50,5:37,6:00,9:15,9:20,10:32,10:45
2022-06-22,6,22,Dhul-Qada,23,4:04,5:00,5:56,1:39,1:50,5:37,6:00,9:15,9:20,10:32,10:45
2022-06-23,6,23,Dhul-Qada,24,4:04,5:00,5:56,1:39,1:50,5:38,6:00,9:15,9:20,10:32,10:45
2022-06-24,6,24,Dhul-Qada,25,4:05,5:00,5:56,1:39,1:50,5:38,6:00,9:16,9:21,10:32,10:45
2022-06-25,6,25,Dhul-Qada,26,4:05,5:00,5:56,1:39,1:50,5:38,6:00,9:16,9:21,10:32,10:45
2022-06-26,6,26,Dhul-Qada,27,4:06,5:00,5:57,1:40,1:50,5:38,6:00,9:16,9:21,10:31,10:45
2022-06-27,6,27,Dhul-Qada,28,4:06,5:00,5:57,1:40,1:50,5:38,6:00,9:16,9:21,10:31,10:45
2022-06-28,6,28,Dhul-Qada,29,4:07,5:00,5:58,1:40,1:50,5:39,6:00,9:16,9:21,10:31,10:45
2022-06-29,6,29,Dhul-Qada,30,4:08,5:00,5:58,1:40,1:50,5:39,6:00,9:16,9:21,10:31,10:45
2022-06-30,6,30,Dhul-Hijjah,1,4:09,5:00,5:58,1:41,1:50,5:39,6:00,9:16,9:21,10:30,10:45
2022-07-01,7,1,Dhul-Hijjah,2,4:09,5:00,5:59,1:41,1:50,5:39,6:00,9:15,9:20,10:30,10:45
2022-07-02,7,2,Dhul-Hijjah,3,4:10,5:00,5:59,1:41,1:50,5:39,6:00,9:15,9:20,10:29,10:45
2022-07-03,7,3,Dhul-Hijjah,4,4:11,5:00,6:00,1:41,1:50,5:39,6:00,9:15,9:20,10:29,10:45
2022-07-04,7,4,Dhul-Hijjah,5,4:12,5:00,6:01,1:41,1:50,5:39,6:00,9:15,9:20,10:29,10:45
2022-07-05,7,5,Dhul-Hijjah,6,4:13,5:00,6:01,1:41,1:50,5:39,6:00,9:15,9:20,10:28,10:45
2022-07-06,7,6,Dhul-Hijjah,7,4:13,5:00,6:02,1:42,1:50,5:40,6:00,9:14,9:19,10:27,10:45
2022-07-07,7,7,Dhul-Hijjah,8,4:14,5:00,6:02,1:42,1:50,5:40,6:00,9:14,9:19,10:27,10:45
2022-07-08,7,8,Dhul-Hijjah,9,4:15,5:00,6:03,1:42,1:50,5:40,6:00,9:14,9:19,10:26,10:45
2022-07-09,7,9,Dhul-Hijjah,10,4:16,5:00,6:04,1:42,1:50,5:40,6:00,9:13,9:18,10:26,10:45
2022-07-10,7,10,Dhul-Hijjah,11,4:17,5:00,6:05,1:42,1:50,5:40,6:00,9:13,9:18,10:25,10:45
2022-07-11,7,11,Dhul-Hijjah,12,4:18,5:00,6:05,1:42,1:50,5:40,6:00,9:12,9:17,10:24,10:45
2022-07-12,7,12,Dhul-Hijjah,13,4:19,5:00,6:06,1:43,1:50,5:40,6:00,9:12,9:17,10:23,10:45
2022-07-13,7,13,Dhul-Hijjah,14,4:20,5:00,6:07,1:43,1:50,5:40,6:00,9:11,9:16,10:23,10:45
2022-07-14,7,14,Dhul-Hijjah,15,4:21,5:00,6:08,1:43,1:50,5:40,6:00,9:11,9:16,10:22,10:45
2022-07-15,7,15,Dhul-Hijjah,16,4:22,5:00,6:08,1:43,1:50,5:40,6:00,9:10,9:15,10:21,10:45
2022-07-16,7,16,Dhul-Hijjah,17,4:23,5:00,6:09,1:43,1:50,5:39,6:00,9:09,9:14,10:20,10:45
2022-07-17,7,17,Dhul-Hijjah,18,4:24,5:00,6:10,1:43,1:50,5:39,6:00,9:09,9:14,10:19,10:45
2022-07-18,7,18,Dhul-Hijjah,19,4:26,5:00,6:11,1:43,1:50,5:39,6:00,9:08,9:13,10:18,10:45
2022-07-19,7,19,Dhul-Hijjah,20,4:27,5:00,6:12,1:43,1:50,5:39,6:00,9:07,9:12,10:17,10:45
2022-07-20,7,20,Dhul-Hijjah,21,4:28,5:00,6:13,1:43,1:50,5:39,6:00,9:07,9:12,10:16,10:45
2022-07-21,7,21,Dhul-Hijjah,22,4:29,5:00,6:14,1:43,1:50,5:39,6:00,9:06,9:11,10:15,10:45
2022-07-22,7,22,Dhul-Hijjah,23,4:30,5:15,6:14,1:43,1:50,5:39,6:00,9:05,9:10,10:14,10:45
2022-07-23,7,23,Dhul-Hijjah,24,4:31,5:15,6:15,1:43,1:50,5:38,6:00,9:04,9:09,10:13,10:45
2022-07-24,7,24,Dhul-Hijjah,25,4:33,5:15,6:16,1:43,1:50,5:38,6:00,9:03,9:08,10:12,10:45
2022-07-25,7,25,Dhul-Hijjah,26,4:34,5:15,6:17,1:44,1:50,5:38,6:00,9:02,9:07,10:10,10:45
2022-07-26,7,26,Dhul-Hijjah,27,4:35,5:15,6:18,1:44,1:50,5:38,6:00,9:01,9:06,10:09,10:45
2022-07-27,7,27,Dhul-Hijjah,28,4:36,5:15,6:19,1:44,1:50,5:37,6:00,9:00,9:05,10:08,10:45
2022-07-28,7,28,Dhul-Hijjah,29,4:37,5:15,6:20,1:44,1:50,5:37,6:00,8:59,9:04,10:07,10:45
